disease,desc
gastroesophageal reflux disease (gerd),"Also known as Reflux and GERD  ,Gastroesophageal reflux disease (GERD) gastro-oesophageal reflux disease (GORD) gastric reflux disease or acid reflux disease is a chronic symptom of mucosal damage caused by stomach acid coming up from the stomach into the esophagus. , Source: Wikipedia"
vitreous hemorrhage,"Vitreous hemorrhage is the extravasation or leakage of blood into the areas in and around the vitreous humor of the eye. The vitreous humor is the clear gel that fills the space between the lens and the retina of the eye. A variety of conditions can result in blood leaking into the vitreous humor which can cause impaired vision floatersand photopsia. , Source: Wikipedia"
poisoning due to antimicrobial drugs, Poisoning due to antimicrobial drugs is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
open wound of the mouth, Open wound of the mouth is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
scleroderma,"Also known as Dermatosclerosis  ,Scleroderma is a chronic systemic autoimmune disease (primarily of the skin -derma) characterized by fibrosis (or hardening -sclero) vascular alterationsand autoantibodies. There are two major forms: , Source: Wikipedia"
myasthenia gravis,"Also known as MG  ,Myasthenia gravis (from Greek μύς muscleἀσθένεια weaknessand Latin: gravis serious; abbreviated MG) is an autoimmune neuromuscular disease leading to fluctuating muscle weakness and fatigability. It is an autoimmune disorder in which weakness is caused by circulating antibodies that block acetylcholine receptors at the postsynaptic neuromuscular junctioninhibiting the excitatory effects of the neurotransmitter acetylcholine on nicotinic receptors throughout neuromuscular junctions. , Source: Wikipedia"
hypoglycemia,"Also known as Low Blood Sugar Level  ,Hypoglycemia (also spelled hypoglycaemia or hypoglycæmianot to be confused with hyperglycemia) is an abnormally diminished content of glucose in the blood. The term literally means low sugar blood (Gr. ὑπογλυκαιμία from hypo- glykys haima). It can produce a variety of symptoms and effects but the principal problems arise from an inadequate supply of glucose to the brain resulting in impairment of function (neuroglycopenia). Effects can range from mild dysphoria to more serious issues such as seizures unconsciousnessand (rarely) permanent brain damage or death. , Source: Wikipedia"
idiopathic absence of menstruation, Idiopathic absence of menstruation is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
dislocation of the ankle,"Also known as Ankle Dislocation and Dislocated Ankle  ,Ajoint dislocation or luxation occurs when there is an abnormal separation in the joint where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are often caused by sudden trauma on the joint like an impact or fall. A joint dislocation can cause damage to the surrounding ligaments tendons muscles and nerves. Dislocations can occur in any joint major (Shoulder knees etc.) or minor (toes fingers etc.). The most common joint dislocation is a shoulder dislocation. , Source: Wikipedia"
carbon monoxide poisoning,"Also known as Carbon Monoxide Toxicity  ,Carbon monoxide poisoning occurs after enough inhalation of carbon monoxide (CO). Carbon monoxide is a toxic gas but being colorless odorless tasteless and initially non-irritating it is very difficult for people to detect. Carbon monoxide is a product of incomplete combustion of organic matter due to insufficient oxygen supply to enable complete oxidation to carbon dioxide (CO2). It is often produced in domestic or industrial settings by older motor vehicles and other gasoline-powered tools heatersand cooking equipment. Exposures at 100 ppm or greater can be dangerous to human health. , Source: Wikipedia"
panic attack,"Panic attacks are periods of intense fear or apprehension that are of sudden onset and of variable duration from minutes to hours. Panic attacks usually begin abruptly may reach a peak within 10 minutes but may continue for much longer if the sufferer had the attack triggered by a situation from which they are not able to escape. In panic attacks that continue unabated and are triggered by a situation from which the sufferer desires to escape some sufferers may make frantic efforts to escape which may be violent if others attempt to contain the sufferer. Some panic attacks can subside on their own over the next several hours. Often those afflicted will experience significant anticipatory anxiety and limited symptom attacks in between attacks in situations where attacks have previously occurred. The effects of a panic attack vary. Some notably first-time sufferers may call for emergency services. Many who experience a panic attack mostly for the first time fear they are having a heart attack or a nervous breakdown. Experiencing a panic attack has been said to be one of the most intensely frightening upsetting and uncomfortable experiences of a person's life and may take days to initially recover from. Repeated panic attacks are considered a symptom of panic disorder. Screening tools like Panic Disorder Severity Scale can be used to detect possible cases of disorderand suggest the need for a formal diagnostic assessment. , Source: Wikipedia"
plantar fasciitis,"Also known as Policeman's Heel  ,Plantar fasciitis (PF) is a painful inflammatory process of the plantar fasciathe connective tissue on the sole (bottom surface) of the foot. It is often caused by overuse of the plantar fascia or arch tendon of the foot. It is a very common condition and can be difficult to treat if not looked after properly. Another common term for the affliction is policeman's heel. , Source: Wikipedia"
hyperopia,"Also known as Farsightedness and Hypermetropia  ,Hyperopia commonly known as being farsighted (American English) being longsighted (British English) or hypermetropia is a defect of vision caused by an imperfection in the eye (often when the eyeball is too short or the lens cannot become round enough) causing difficulty focusing on near objects and in extreme cases causing a sufferer to be unable to focus on objects at any distance. As an object moves toward the eye the eye must increase its optical power to keep the image in focus on the retina. If the power of the cornea and lens is insufficient as in hyperopiathe image will appear blurred. , Source: Wikipedia"
poisoning due to sedatives, Poisoning due to sedatives is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
pemphigus,"Pemphigus (/ˈpɛmfɪɡəs/ or /pɛmˈfaɪɡəs/) is a rare group of blistering autoimmune diseases that affect the skin and mucous membranes. , Source: Wikipedia"
peyronie disease,"Also known as Penile Fibrosis and Induratio Penis Plastica  ,Peyronie's Disease (also known as Induratio penis plastica or more recently Chronic Inflammation of the Tunica Albuginea (CITA) is a connective tissue disorder involving the growth of fibrous plaques in the soft tissue of the penis affecting up to 10% of men. Specifically scar tissue forms in the tunica albuginea the thick sheath of tissue surrounding the corpora cavernosa causing pain abnormal curvature erectile dysfunction indentation loss of girth and shortening. A variety of treatments have been usedbut none have been especially effective. , Source: Wikipedia"
hiatal hernia,"Also known as Diaphragmatic Hernia  ,A hiatus hernia or hiatal hernia is the protrusion (or herniation) of the upper part of the stomach into the thorax through a tear or weakness in the diaphragm. ,Source: Wikipedia"
extrapyramidal effect of drugs, Extrapyramidal effect of drugs is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
meniere disease,"Also known as Otogenic Vertigo  ,Meniere's disease can cause severe dizziness a roaring sound in your ears called tinnitus hearing loss that comes and goes and the feeling of ear pressure or pain. It usually affects just one ear. It is a common cause of hearing loss. Scientists don't yet know the cause. They think that it has to do with the fluid levels or the mixing of fluids in the canals of your inner ear. Symptoms occur suddenly and can happen as often as every day or as seldom as once a year. An attack can be a combination of severe dizziness or vertigo tinnitus and hearing loss lasting several hours. There is no cure. Howeveryou may be able to control symptoms by changing your diet or taking medicine so that your body retains less fluid. Severe cases may require surgery. NIH: National Institute on Deafness and Other Communication Disorders , Source: MedlinePlus"
anal fissure,"Also known as Anal Ulcer  ,An anal fissure is a break or tear in the skin of the anal canal. Anal fissures may be noticed by bright red anal bleeding on toilet paper sometimes in the toilet. If acute they may cause pain after defecation but with chronic fissures pain intensity is often less. Anal fissures usually extend from the anal opening and are usually located posteriorly in the midlineprobably because of the relatively unsupported nature and poor perfusion of the anal wall in that location. Fissure depth may be superficial or sometimes down to the underlying sphincter muscle. , Source: Wikipedia"
allergy,"Also known as Hypersensitivity and Hypersensitivity Reaction  ,An allergy is a hypersensitivity disorder of the immune system. Allergic reactions occur when a person's immune system reacts to normally harmless substances in the environment. A substance that causes a reaction is called an allergen. These reactions are acquired predictableand rapid. Allergy is one of four forms of hypersensitivity and is formally called type I (or immediate) hypersensitivity. Allergic reactions are distinctive because of excessive activation of certain white blood cells called mast cells and basophils by a type of antibody called Immunoglobulin E (IgE). This reaction results in an inflammatory response which can range from uncomfortable to dangerous. , Source: Wikipedia"
chronic otitis media, Chronic otitis media is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
fracture of the finger,Also known as Finger Fracture   Fracture of the finger is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
hirschsprung disease,"Also known as Aganglionosis Congenital Megacolonand Aganglionic Megacolon  ,Hirschsprung's disease (HD) is a disorder of the abdomen that occurs when part or all of the large intestine or antecedent parts of the gastrointestinal tract have no nerves and therefore cannot function. During normal fetal development cells from the neural crest migrate into the large intestine (colon) to form the networks of nerves called Auerbach's plexus and Meissner's plexus. In Hirschprung's disease the migration is not complete and part of the colon lacks these nerve bodies that regulate the activity of the colon. The affected segment of the colon cannot contract and therefore pass stool through the colon creating an obstruction. In most affected people the disorder affects the part of the colon that is nearest the anus. In rare cases the lack of nerve bodies involves more of the colon. In five percent of cases the entire colon is affected. Stomach and esophagus may be affected too. Hirschsprung's disease is also sometimes called congenital aganglionic megacolon. , Source: Wikipedia"
polymyalgia rheumatica,"Also known as PMR  ,Polymyalgia rheumatica (which takes its name from the word polymyalgia which means pain in many muscles in Greek followed by the term rheumatica) abbreviated as PMR is a syndrome with pain or stiffness usually in the neck shoulders and hips. The pain can be very suddenor can occur gradually over a period. It may be caused by an inflammatory condition of blood vessels such as temporal arteritis. , Source: Wikipedia"
lymphedema,"Lymphedema (lymphoedema in British English) also known as lymphatic obstruction is a condition of localized fluid retention and tissue swelling caused by a compromised lymphatic system. The lymphatic system returns the interstitial fluid to the thoracic duct and then to the bloodstreamwhere it is recirculated back to the tissues. Tissues with lymphedema are at risk of infection. , Source: Wikipedia"
bladder cancer,Also known as Cancer Of Bladder Urinary Bladder Cancer Bladder Caand Malignant Neoplasm Of Bladder   Bladder cancer is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
acute bronchospasm,"Also known as Bronchial Spasm  ,Spasmodic contraction of the smooth muscle of the bronchi. ,Source: MeSH"
acute glaucoma,"Also known as Narrow-angle Glaucoma and Angle-closure Glaucoma  ,Glaucoma is a term describing a group of ocular disorders with multi-factorial etiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. This can permanently damage vision in the affected eye(s) and lead to blindness if left untreated. It is normally associated with increased fluid pressure in the eye (aqueous humour). The term ocular hypertension is used for people with consistently raised intraocular pressure (IOP) without any associated optic nerve damage. Conversely the term 'normal tension' or 'low tension' glaucoma is used for those with optic nerve damage and associated visual field loss but normal or low IOP. , Source: Wikipedia"
open wound of the chest,Also known as Open Chest Wound   Open wound of the chest is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
dislocation of the patella," Also known as Patella Dislocation Dislocated Patella and Patellar Luxation  ,Luxating patella (or trick knee subluxation of patella floating patella or floating kneecap) is a condition in which the patella or kneecap dislocates or moves out of its normal location. , Source: Wikipedia"
sciatica,"Also known as Ischia and Sciatic Neuralgia  ,Sciatica (/saɪˈætɪkə/; sciatic neuritis sciatic neuralgia or lumbar radiculopathy) is a set of symptoms including pain that may be caused by general compression or irritation of one of five spinal nerve roots that give rise to each sciatic nerve or by compression or irritation of the left or right or both sciatic nerves. Symptoms include lower back pain buttock pain and pain numbness or weakness in various parts of the leg and foot. Other symptoms include pins and needles or tingling and difficulty in moving or controlling the leg. Typically the symptoms are only felt on one side of the body. The pain may radiate below the kneebut does not always. , Source: Wikipedia"
hypercalcemia,"Hypercalcaemia (British English) or hypercalcemia (American English) is an elevated calcium (Ca+) level in the blood. (Normal range: 9–10.5 mg/dL or 2.2–2.6 mmol/L). It can be an asymptomatic laboratory finding but because an elevated calcium level is often indicative of other diseases a workup should be undertaken if it persists. It can be due to excessive skeletal calcium release increased intestinal calcium absorptionor decreased renal calcium excretion. , Source: Wikipedia"
stress incontinence,"Also known as Urinary Stress Incontinence  ,Stress incontinence is a form of urinary incontinence. ,Source: Wikipedia"
varicose veins," Also known as Varicose Vein Varices Varix Phlebectasia Venous Ectasia and Enlarged Tortuous Blood Vessel  ,Vericose veins are veins that have become enlarged and tortuous. The term commonly refers to the veins on the leg although varicose veins can occur elsewhere. Veins have leaflet valves to prevent blood from flowing backwards (retrograde flow or reflux). Leg muscles pump the veins to return blood to the heart (the calf muscle pump mechanism) against the effects of gravity. When veins become varicose the leaflets of the valves no longer meet properly and the valves do not work (valvular incompetence). This allows blood to flow backwards and they enlarge even more. Varicose veins are most common in the superficial veins of the legs which are subject to high pressure when standing. Besides being a cosmetic problem varicose veins can be painful especially when standing. Severe long-standing varicose veins can lead to leg swelling venous eczema skin thickening (lipodermatosclerosis) and ulceration. Life-threatening complications are uncommon. , Source: Wikipedia"
benign kidney cyst,"Also known as Cyst Of Kidney and Simple Renal Cyst  ,Acyst is a fluid-filled sac. There are two types of kidney cysts. Polycystic kidney disease (PKD) runs in families. In PKD the cysts take the place of the normal tissue. They enlarge the kidneys and make them work poorly leading to kidney failure. When PKD causes kidneys to fail—which usually happens after many years—people need dialysis or kidney transplantation. About half of people with the most common type of PKD end up with kidney failure. PKD also causes cysts in other parts of the body such as the liver. Symptoms of PKD include Pain in the back and lower sides Headaches Urinary tract infections Blood in the urine Doctors diagnose PKD with imaging tests and family history. Treatments include medications and when people with PKD develop kidney failure dialysis or kidney transplants. Acquired cystic kidney disease (ACKD) usually happens in people who are on dialysis. Unlike PKD the kidneys are normal sized and cysts do not form in other parts of the body. People with ACKD already have chronic kidney disease when they develop cysts. ACKD often has no symptoms. In most casesthe cysts are harmless and do not need treatment. NIH: National Institute of Diabetes and Digestive and Kidney Diseases , Source: MedlinePlus"
hydrocele of the testicle,"Also known as Testis Hydrocele  ,Accumulation of serous fluid between the layers of membrane (tunica vaginalis) covering the TESTIS in the SCROTUM. ,Source: MeSH"
degenerative disc disease,"Also known as Disk Degeneration and Intervertebral Disc Degeneration  ,Degeneration of one or more intervertebral disc(s) of the spine often called degenerative disc disease (DDD) or degenerative disc disorder is a condition that can be painful and can greatly affect the quality of one's life. While disc degeneration is a normal part of aging and for most people is not a problem for certain individuals a degenerated disc can cause severe chronic pain if left untreated. , Source: Wikipedia"
hirsutism,"Also known as Hypertrichosis Hairiness Pilosisand Polytrichia  ,Hirsutism is the excessive hairiness on women in those parts of the body where terminal hair does not normally occur or is minimal - for example a beard or chest hair. It refers to a male pattern of body hair (androgenic hair) and it is therefore primarily of cosmetic and psychological concern. Hirsutism is a medical sign rather than a disease and may be a sign of a more serious medical condition especially if it develops well after puberty. The amount and location of the hair is measured by a Ferriman-Gallwey score. , Source: Wikipedia"
dislocation of the foot, Dislocation of the foot is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
hydronephrosis,"Hydronephrosis — literally water inside the kidney — refers to distension and dilation of the renal pelvis and calyces usually caused by obstruction of the free flow of urine from the kidney. Untreated it leads to progressive atrophy of the kidney. In cases of hydroureteronephrosis there is distention of both the ureter and the renal pelvis and calices. , Source: Wikipedia"
diverticulosis,"Also known as Intestinal Diverticulum  ,Diverticulosisalso known as diverticular disease is the condition of having diverticula in the colon which are outpocketings of the colonic mucosa and submucosa through weaknesses of muscle layers in the colon wall. These are more common in the sigmoid colon which is a common place for increased pressure. This is uncommon before the age of 40and increases in incidence after that age. , Source: Wikipedia"
pain after an operation,"Also known as Postoperative Pain  ,Pain is an unpleasant feeling often caused by intense or damaging stimuli such as stubbing a toe burning a finger putting alcohol on a cutand bumping the funny bone. The International Association for the Study of Pain's widely used definition states: Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damageor described in terms of such damage. , Source: Wikipedia"
huntington disease,"Also known as Huntington Chorea  ,Huntington's disease (HD) is a neurodegenerative genetic disorder that affects muscle coordination and leads to cognitive decline and psychiatric problems. It typically becomes noticeable in mid-adult life. HD is the most common genetic cause of abnormal involuntary writhing movements called choreawhich is why the disease used to be called Huntington's chorea. , Source: Wikipedia"
west nile virus,"Also known as West Nile Fever  ,West Nile virus (WNV) is a mosquito-borne zoonotic arbovirus belonging to the genus Flavivirus in the family Flaviviridae. This flavivirus is found in temperate and tropical regions of the world. It was first identified in the West Nile subregion in the East African nation of Uganda in 1937. Prior to the mid-1990s WNV disease occurred only sporadically and was considered a minor risk for humans until an outbreak in Algeria in 1994 with cases of WNV-caused encephalitis and the first large outbreak in Romania in 1996 with a high number of cases with neuroinvasive disease. WNV has now spread globally with the first case in the Western Hemisphere being identified in New York City in 1999; over the next 5 years the virus spread across the continental United States north into Canada and southward into the Caribbean Islands and Latin America. WNV also spread to Europe beyond the Mediterranean Basin . WNV is now considered to be an endemic pathogen in Africa Asia Australia the Middle East Europe and in the United States which in 2012 has experienced one of its worst epidemics. In 2012 WNV killed 286 people in the United States with the state of Texas being hard hit by this virusmaking the year the deadliest on record for the United States. , Source: Wikipedia"
lymphoma,"Also known as Malignant Lymphoma  ,Lymphoma is a type of blood cancer that occurs when B or T lymphocytes the white blood cells that form a part of the immune system and help protect the body from infection and disease divide faster than normal cells or live longer than they are supposed to. Lymphoma may develop in the lymph nodes spleen bone marrowblood or other organs and eventually they form a tumor. , Source: Wikipedia"
dermatitis due to sun exposure, Dermatitis due to sun exposure is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
anemia due to chronic kidney disease,Also known as Anemia Of Renal Disease   Anemia due to chronic kidney disease is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
injury to internal organ, Injury to internal organ is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
scleritis,"Scleritis is a serious inflammatory disease that affects the white outer coating of the eye known as the sclera. The disease is often contracted through association with other diseases of the body such as Wegener's granulomatosis or rheumatoid arthritis; it can also be attained through disorders of menstruation. For this reason scleritis occurs frequently among young women. There are three types of scleritis: diffuse scleritis (the most common) nodular scleritis and necrotizing scleritis (the most severe). Scleritis may be the first symptom of onset of connective tissue disease. , Source: Wikipedia"
pterygium,"Also known as Eye Webbing  ,Pterygium refers to any winglike triangular membrane occurring in the neck eyes knees elbowsankles or digits. , Source: Wikipedia"
fungal infection of the skin,"Also known as Dermatomycosis Fungal Skin Disease Cutaneous Mycosisand Epidermomycosis  ,A dermatomycosis is a skin disease caused by a fungus. , Source: Wikipedia"
insulin overdose, Insulin overdose is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
syndrome of inappropriate secretion of adh (siadh),"Acondition of HYPONATREMIA and renal salt loss attributed to overexpansion of BODY FLUIDS resulting from sustained release of ANTIDIURETIC HORMONES which stimulates renal resorption of water. It is characterized by normal KIDNEY function high urine OSMOLALITY low serum osmolality and neurological dysfunction. Etiologies include ADH-producing neoplasms injuries or diseases involving the HYPOTHALAMUS the PITUITARY GLAND and the LUNG. This syndrome can also be drug-induced. , Source: MeSH"
foreign body in the ear, Foreign body in the ear is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
premenstrual tension syndrome," Also known as PMS Premenstrual Syndrome and Premenstrual Tension  ,Premenstrual syndrome (PMS) (Also known as Perimenstrual syndrome due to symptoms appearing both before and after menses) is a collection of emotional symptoms with or without physical symptoms related to a woman's menstrual cycle. While most women of child-bearing age (up to 85%) report having experienced physical symptoms related to normal ovulatory function such as bloating or breast tenderness medical definitions of PMS are limited to a consistent pattern of emotional and physical symptoms occurring only during the luteal phase of the menstrual cycle that are of sufficient severity to interfere with some aspects of life. In particular emotional symptoms must be present consistently to diagnose PMS. The specific emotional and physical symptoms attributable to PMS vary from woman to woman but each individual woman's pattern of symptoms is predictable occurs consistently during the ten days prior to menses and vanishes either shortly before or shortly after the start of menstrual flow. , Source: Wikipedia"
orbital cellulitis,"Orbital cellulitis is an inflammation of eye tissues posterior to the orbital septum. It most commonly refers to an acute spread of infection into the eye socket from either the adjacent sinuses or through the blood. When it affects the rear of the eyeit is known as retro-orbital cellulitis. , Source: Wikipedia"
injury to the leg,"Also known as Leg Injury and Lower Limb Injury  ,General or unspecified injuries involving the leg. ,Source: MeSH"
hepatic encephalopathy,"Also known as Portosystemic Encephalopathy and Coma Hepaticum  ,Hepatic encephalopathy (also known as portosystemic encephalopathy) is the occurrence of confusion altered level of consciousness and coma as a result of liver failure. In the advanced stages it is called hepatic coma or coma hepaticum. It may ultimately lead to death. , Source: Wikipedia"
bone cancer,"Also known as Cancer Of Bone and Malignant Neoplasm Of Bone  ,A bone tumor also spelled bone tumour)is a neoplastic growth of tissue in bone. Abnormal growths found in the bone can be either benign (noncancerous) or malignant (cancerous). , Source: Wikipedia"
leishmaniasis,"Leishmaniasis is a disease caused by protozoan parasites that belong to the genus Leishmania and is transmitted by the bite of certain species of sand fly (subfamily Phlebotominae). Although the majority of the literature mentions only one genus transmitting Leishmania to humans (Lutzomyia) in the US a 2003 study by Galati suggested a new classification for American sand flies elevating several subgenera to the genus level. Elsewhere in the worldthe genus Phlebotomus is considered the vector of leishmaniasis. , Source: Wikipedia"
chagas disease,"Also known as T Cruzi American Trypanosomiasis South American Trypanosomiasisand Infection By Trypanosoma Cruzi  ,Chagas disease (/ˈʃɑːɡəs/; Portuguese: doença de Chagas  Spanish: enfermedad de Chagas  also known as mal de Chagas in both languages; also called American trypanosomiasis) is a tropical parasitic disease caused by the flagellate protozoan Trypanosoma cruzi. T. cruzi is commonly transmitted to humans and other mammals by an insect vector the blood-sucking kissing bugs of the subfamily Triatominae (family Reduviidae) most commonly from species belonging to the Triatoma Rhodnius and Panstrongylus genera. , Source: Wikipedia"
syringomyelia,"Syringomyelia /sɪˌrɪŋɡɵmaɪˈiːliə/ is a generic term referring to a disorder in which a cyst or cavity forms within the spinal cord. This cyst called a syrinx can expand and elongate over time destroying the spinal cord. The damage may result in pain paralysis weakness and stiffness in the back shoulders and extremities. Syringomyelia may also cause a loss of the ability to feel extremes of hot or cold especially in the hands. The disorder generally leads to a cape-like loss of pain and temperature sensation along the back and arms. Each patient experiences a different combination of symptoms. These symptoms typically vary depending on the extent and often more criticallyto the location of the syrinx within the spinal cord. , Source: Wikipedia"
pulmonary fibrosis,"Also known as Lung Cirrhosis  ,Pulmonary fibrosis is the formation or development of excess fibrous connective tissue (fibrosis) in the lungs. It is also described as scarring of the lung. , Source: Wikipedia"
mitral valve disease,"Also known as Mitral Valve Disorder  ,Mitral regurgitation (MR) mitral insufficiency or mitral incompetence is a disorder of the heart in which the mitral valve does not close properly when the heart pumps out blood. It is the abnormal leaking of blood from the left ventricle through the mitral valve and into the left atrium when the left ventricle contractsie there is regurgitation of blood back into the left atrium. MR is the most common form of valvular heart disease. , Source: Wikipedia"
parkinson disease,"Parkinson's disease (PD also known as idiopathic or primary parkinsonism hypokinetic rigid syndrome/HRS or paralysis agitans) is a degenerative disorder of the central nervous system. The motor symptoms of Parkinson's disease result from the death of dopamine-generating cells in the substantia nigra a region of the midbrain; the cause of this cell death is unknown. Early in the course of the disease the most obvious symptoms are movement-related; these include shaking rigidity slowness of movement and difficulty with walking and gait. Later thinking and behavioral problems may arise with dementia commonly occurring in the advanced stages of the disease whereas depression is the most common psychiatric symptom. Other symptoms include sensory sleep and emotional problems. Parkinson's disease is more common in the elderlywith most cases occurring after the age of 50. , Source: Wikipedia"
gout,"Also known as Uric acid arthropathy  ,Gout (also known as podagra when it involves the big toe) is a medical condition usually characterized by recurrent attacks of acute inflammatory arthritis—a red tender hot swollen joint. The metatarsal-phalangeal joint at the base of the big toe is the most commonly affected (approximately 50% of cases). However it may also present as tophi kidney stones or urate nephropathy. It is caused by elevated levels of uric acid in the blood. The uric acid crystallizes and the crystals deposit in joints tendonsand surrounding tissues. , Source: Wikipedia"
otitis media,"Also known as Middle Ear Infection  ,Otitis media (Latin for inflammation of the middle ear) is the medical term for middle ear infection. Although several subtypes of otitis media are distinguishedthe term is often used synonymously with acute otitis media. It is very common in childhood. , Source: Wikipedia"
drug abuse (opioids),"Also known as Opioid Abuse and Opiate Abuse  ,Opioid dependence is a medical diagnosis characterized by an individual's inability to stop using opiates (morphine heroin codeine oxycodone hydrocodone etc.) even when objectively it is in his or her best interest to do soand is a major component of opioid addiction. In 1964 the WHO Expert Committee on Drug Dependence introduced dependence as A cluster of physiological behavioural and cognitive phenomena of variable intensity in which the use of a psychoactive drug (or drugs) takes on a high priority. The necessary descriptive characteristics are preoccupation with a desire to obtain and take the drug and persistent drug-seeking behaviour. Determinants and problematic consequences of drug dependence may be biological psychological or socialand usually interact. The core concept of the WHO definition of drug dependence requires the presence of a strong desire or a sense of compulsion to take the drug; and the WHO and DSM-IV-TR clinical guidelines for a definite diagnosis of dependence require that three or more of the following six characteristic features be experienced or exhibited: , Source: Wikipedia"
myelodysplastic syndrome,"Also known as Myelodysplasia  ,The myelodysplastic syndromes (MDSformerly known as preleukemia) are a diverse collection of hematological (blood-related) medical conditions that involve ineffective production (or dysplasia) of the myeloid class of blood cells. , Source: Wikipedia"
fracture of the shoulder,"Also known as Shoulder Fracture and Proximal Humeral Fracture  ,Fractures of the proximal humerus including the head anatomic and surgical necksand tuberosities. , Source: MeSH"
acute kidney injury,"Also known as AKI ARF Acute Renal Failure Acute Kidney Failure Acute Renal Insufficiencyand Acute Renal Shutdown  ,Acute kidney injury (AKI) previously called acute renal failure (ARF) is a rapid loss of kidney function. , Source: Wikipedia"
threatened pregnancy,"Also known as Threatened Abortion  ,Miscarriage is the spontaneous end of a pregnancy at a stage where the embryo or fetus is incapable of surviving independently. Miscarriage is the most common complication of early pregnancy. ,Source: Wikipedia"
intracranial abscess,"Brain abscess (or cerebral abscess) is an abscess caused by inflammation and collection of infected material coming from local (ear infection dental abscess infection of paranasal sinuses infection of the mastoid air cells of the temporal bone epidural abscess) or remote (lung heart kidney etc.) infectious sources within the brain tissue. The infection may also be introduced through a skull fracture following a head trauma or surgical procedures. Brain abscess is usually associated with congenital heart disease in young children. It may occur at any age but is most frequent in the third decade of life. , Source: Wikipedia"
gum disease,"Also known as Periodontal Disease and Parodontosis  ,Dental diseases may affect the teeth the gums or other tissues and parts of the mouth. Dental diseases can cause much more serious problems than a toothache; they can affect our ability to chew smile or speak properly. Their severity may range from a simple aphthous ulcer or a common tooth cavityto oral cancer. , Source: Wikipedia"
open wound from surgical incision, Open wound from surgical incision is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
gastrointestinal hemorrhage," Also known as GI Bleeding Gi Bleed Gastrointestinal Bleeding Gastrointestinal Bleed and GI Hemorrhage  ,Gastrointestinal bleeding or gastrointestinal hemorrhage describes every form of hemorrhage (loss of blood) in the gastrointestinal tract from the pharynx to the rectum. It has diverse causes and a medical history as well as physical examination generally distinguishes between the main forms. The degree of bleeding can range from nearly undetectable to acute massive life-threatening bleeding. , Source: Wikipedia"
seborrheic dermatitis,"Also known as Seborrhea and Seborrheic Eczema  ,Seborrhoeic dermatitis (also seborrheic dermatitis AmEseborrhea) (also known as seborrheic eczema) is an inflammatory skin disorder affecting the scalp face and torso. Typically seborrheic dermatitis presents with scaly flaky itchy and red skin. It particularly affects the sebaceous-gland-rich areas of skin. In adolescents and adultsseborrhoeic dermatitis usually presents as scalp scaling similar to dandruff or as mild to marked erythema of the nasolabial fold. , Source: Wikipedia"
drug abuse (methamphetamine), Drug abuse (methamphetamine) is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
torticollis,"Also known as Neck Contracture  ,Torticollis also known as wry neck or loxia is a symptom defined by an abnormal asymmetrical head or neck position which may be due to a variety of causes. The term torticollis is derived from the Latin words tortus for twisted and collum for neck. , Source: Wikipedia"
poisoning due to antihypertensives, Poisoning due to antihypertensives is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
tension headache,"Also known as Stress Headache and Tension Type Headache  ,Atension headache (renamed a tension-type headache by the International Headache Society in 1988) is the most common type of primary headache. The pain can radiate from the lower back of the head the neck eyes or other muscle groups in the body. Tension-type headaches account for nearly 90% of all headaches. Approximately 3% of the population has chronic tension-type headaches. , Source: Wikipedia"
alcohol intoxication,"Also known as Inebriation and Drunkenness  ,Alcohol intoxication (also known as drunkenness or inebriation) is a physiological state induced by the consumption of alcohol. ,Source: Wikipedia"
scurvy,"Also known as Scorbutus  ,Scurvy is a disease resulting from a deficiency of vitamin C which is required for the synthesis of collagen in humans. The chemical name for vitamin C ascorbic acid is derived from the Latin name of scurvy scorbutus which also provides the adjective scorbutic (of characterized by or having to do with scurvy). Scurvy often presents itself initially as symptoms of malaise and lethargy followed by formation of spots on the skin spongy gums and bleeding from the mucous membranes. Spots are most abundant on the thighs and legs and a person with the ailment looks pale feels depressed and is partially immobilized. As scurvy advances there can be open suppurating wounds loss of teeth jaundice fever neuropathy and death. , Source: Wikipedia"
